productHandle,productTitle,shopifySku,supplierSku,supplierMatchStatus,productType,sourceMode,hasShopifyFactsImage,shopifyFactsImageUrlsCount,hasSupplierFactsImage,supplierFactsImageUrlsCount,hasTemplateLabelAsset,hasMockupAsset,hasAiLabelTextEvidence,aiLabelTextStatus,hasOcrEvidence,hasStructuredSupplementFactsInArtifacts,hasStructuredSupplementFactsInDb,hasSupplementFactsInCopywritingInput,servingSizePresentInArtifacts,servingSizePresentInDb,servingSizePresentInInput,servingsPerContainerPresentInArtifacts,servingsPerContainerPresentInDb,servingsPerContainerPresentInInput,activeIngredientsPresentInArtifacts,activeIngredientsPresentInDb,activeIngredientsPresentInInput,ingredientAmountsPresentInArtifacts,ingredientAmountsPresentInDb,ingredientAmountsPresentInInput,otherIngredientsPresent,suggestedUsePresent,warningsPresent,coaPresent,pricingPresent,inventoryPresent,copywritingSupplementFactsMissingFlag,copywritingIngredientFactsMissingFlag,copywritingMissingDataNotices,validationIngredientMatchingReadiness,validationProductEditorFactsReadiness,globalValidationStatus,incorrectlyClassifiedSupplementFactsMissing,labelImageEvidenceButNoStructuredFacts,aiLabelTextAvailableButInputMissing,structuredFactsInArtifactsButDbMissing,structuredFactsInDbButInputMissing,sourceDataInSupplierSnapshotButNotInput,auditCategory,suspectedRootCause,recommendedFixLane
anxiety-formula,Anxiety Formula,ROC801,ROC801,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
b-12-drops-2oz,B-12 Drops 2oz,ROC802,ROC802,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
blood-sugar-ultra,Blood Sugar Ultra,ROC803,ROC803,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
coq10-ubiquinone,CoQ10 (Ubiquinone),ROC805,ROC805,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
joint-flex,Joint Flex,ROC808,ROC808,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
neuro-plus-brain-and-focus,Neuro Plus Brain and Focus,ROC812,ROC812,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
omega-3-fish-oil,Omega 3 Fish Oil,ROC814,ROC814,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
probiotic-40-billion-cfu,Probiotic - 40 Billion CFU,ROC816,ROC816,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
sleep-formula,Sleep Formula,ROC817,ROC817,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
turmeric-w-bioperine-650mg,Turmeric w/BioPerine - 650mg,ROC818,ROC818,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
ashwagandha,Ashwagandha,ROC822,ROC822,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
turmeric-w-ginger,Turmeric w/Ginger,ROC823,ROC823,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
magnesium-glycinate,Magnesium Glycinate,ROC824,ROC824,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
5-htp,5-HTP,ROC826,ROC826,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
